no;codigo;nome;descricao;pasta;classificacao;autor;numero_revisao;ultima_revisao;data_aprovacao;proxima_revisao;data_validade;documentos_controlados;matriz;sub_area
1;DEX.002;ISO 9001:2015 - Sistemas de gestão da qualidade - Requisitos;;Normas;Documentos Externos;Vagner Domingos;;2019-02-28;2019-02-28;2026-08-19;2026-11-18;Sim;;
2;DEX.003;;;;;;;;;;;;;
3;DEX.004;;;;;;;;;;;;;
4;DEX.005;;;;;;;;;;;;;
5;DEX.006;ABNT NBR ISO.IEC17025 - Requisitos gerais para a competência de laboratórios de ensaio e calibração;;Normas;Documentos Externos;Vagner Domingos;;2019-04-08;2019-04-08;2026-08-19;2026-11-17;Sim;;
6;DEX.008;ICR08041 - HC Control Plan for Rx Labs;;Rx Referencial;Documentos Externos;José Hamilton;2;2024-08-14;2024-08-26;2026-08-26;2026-11-24;Sim;;
7;DEX.009;;;;;;;;;;;;;
8;DEX.010;;;;;;;;;;;;;
9;DEX.011;Finished lenses optical standard ISTM 04.025;;Geral;Documentos Externos;Jessika Menacho;3;2025-06-09;2025-08-12;2026-08-12;2026-11-10;Sim;;
10;DEX.012;ISTM04 - 024  - Rx Cosmetic Standard;;Geral;Documentos Externos;Lucineide Pereira;4;2023-08-02;2023-08-04;2026-08-03;2026-11-03;Sim;;
11;DEX.014;;;;;;;;;;;;;
12;DEX.015;;;;;;;;;;;;;
13;DEX.016;;;;;;;;;;;;;
14;DEX.017;;;;;;;;;;;;;
15;DEX.018;;;;;;;;;;;;;
16;DEX.019;;;;;;;;;;;;;
17;DEX.020;;;;;;;;;;;;;
18;DEX.021;;;;;;;;;;;;;
19;DEX.022;;;;;;;;;;;;;
20;DEX.023;;;;;;;;;;;;;
21;DEX.024;;;;;;;;;;;;;
22;DEX.025;;;;;;;;;;;;;
23;DEX.026;;;;;;;;;;;;;
24;DEX.027;;;;;;;;;;;;;
25;DEX.030;;;;;;;;;;;;;
26;DEX.033;Manual de aplicação 5S;;07-MELHORIA CONTÍNUA;Documentos Externos;Humberto Serra - Lab Rio;;2020-10-08;2020-12-03;2026-07-09;2026-10-08;Não;QUALIDADE;5S
27;DEX.034;ABNT NBR ISO13485:2016 - Produtos para saúde - Sistemas de gestão da qualidade - Requisitos para fins regulamentares;;Normas;Documentos Externos;Taís Flores;;2020-11-12;2020-11-12;2026-05-18;2026-08-17;Sim;;
28;DEX.035;Cross Hatch Adhesion Test for Hard Coating - ISTM-02-010;;04-Testes;Documentos Externos;Taís Flores;8;2025-03-11;2025-03-11;2026-03-11;2026-06-09;Sim;;
29;DEX.036;;;;;;;;;;;;;
30;DEX.038;Rótulos de Classe I  e Recicláveis;;Gestão de Resíduos;Documentos Externos;Aleksander Oliveira;;2021-04-12;2021-04-13;2025-10-13;2025-12-29;Sim;;
31;DEX.039;ABNT NBR ISO 8980-2:2021 Parte 2: Especificações para lentes de potência variável;;Normas;Documentos Externos;Taís Flores;1;2023-09-04;2023-09-04;2025-09-04;2025-12-04;Sim;;
32;DEX.040;DIP PROCESSES PARAMETERS - HC - DO-ENG02.0488;;02-HC;Documentos Externos;Taís Flores;15;2021-06-30;2021-06-30;2026-06-30;2026-09-29;Sim;Doc's de Referência do STL;HC
33;DEX.041;NR05 - COMISSÃO INTERNA DE PREVENÇÃO DE ACIDENTES E DE ASSÉDIO - CIPA;;Normas;Documentos Externos;Taís Flores;1;2023-09-04;2023-09-04;2025-09-04;2025-12-04;Sim;;
34;DEX.042;ICR08043 - ICR Titanium;;Geral;Documentos Externos;Taís Flores;1;2021-07-27;2021-07-27;2025-11-03;2026-02-02;Sim;;
35;DEX.043;DQO 04.020 - Standard for Storage and Transportations of lenses NEW Rev10;;Geral;Documentos Externos;Taís Flores;1;2023-01-30;2023-01-30;2026-01-30;2026-04-30;Sim;;
36;DEX.044;IMS 18253 - Validade Materiais Produtos;;Geral;Documentos Externos;Taís Flores;2;2021-08-24;2021-08-24;2025-11-03;2026-02-02;Sim;;
37;DEX.045;DQO-07.527 - Tracking Code Description;;Geral;Documentos Externos;Taís Flores;1;2024-04-10;2024-05-06;2026-05-06;2026-08-05;Sim;;
38;DEX.046;Specs - HVAC - HMC - Clean Room for HMC Processes;;Geral;Documentos Externos;Taís Flores;1;2019-01-17;2021-08-26;2026-02-02;2026-05-02;Sim;;
39;DEX.048;ISTM 01 - 002 E - Cosmetic Defect Glossary;;Geral;Documentos Externos;Taís Flores;3;2021-09-10;2021-09-10;2026-01-08;2026-04-08;Sim;;
40;DEX.049;ISTM 02- 020 - Inspeção Cosmética;;Geral;Documentos Externos;Taís Flores;4;2021-09-10;2021-09-10;2025-09-12;2026-01-05;Sim;;
41;DEX.050;ISTM 02 - 373 - Rx Cosmetic Inspection;;Geral;Documentos Externos;Taís Flores;1;2021-09-10;2021-09-10;2025-09-12;2026-01-05;Sim;;
42;DEX.051;NBR 5426 Nb 309 01 - Planos Amostragem Procedimentos Inspeção Atributos;;Normas;Documentos Externos;Taís Flores;;2021-09-15;2021-09-15;2026-06-03;2026-09-02;Sim;;
43;DEX.052;Portaria GM MS Nº 888, de 4 de maio de 2021;;Higienização;Documentos Externos;Aleksander Oliveira;;2021-09-27;2021-12-07;2025-09-27;2025-11-28;Sim;;
44;DEX.053;Programa de Proteção Respiratória - Fundacentro;;Programa de Proteção Respiratória;Documentos Externos;Fabricio Cunha;;2021-09-27;2021-12-07;2025-09-27;2025-12-27;Sim;;
45;DEX.054;NR 6 - Equipamento de Proteção Individual;;Programa de Proteção Respiratória;Documentos Externos;Fabricio Cunha;1;2024-04-17;2024-04-18;2026-04-20;2026-07-20;Sim;;
46;DEX.055;NR 01 - Disposições Gerais e Gerenciamento de Riscos Ocupacionais;;Programa de Proteção Respiratória;Documentos Externos;Fabricio Cunha;1;2024-04-17;2024-08-22;2026-08-21;2026-11-19;Sim;;
47;DEX.056;Workflow Novo Produto_v2003_V10_2;;Qualidade;Documentos Externos;Taís Flores;10;2021-10-07;2021-10-07;2026-08-14;2026-11-13;Sim;QUALIDADE;QUALIDADE
48;DEX.057;Solicitação de procedimento LIMS (português);;08-EQC;Documentos Externos;Maurício Acioli;2;2021-11-01;2021-11-03;2026-02-03;2026-05-03;Sim;;
49;DEX.058;General Specifications for Ventilation and air-conditionning in HMC Clean Rooms (Process Rooms);;02-HC;Documentos Externos;Nathália Brandão;1;2019-01-17;2019-01-17;2026-02-09;2026-05-09;Sim;Doc's de Referência do STL;HC
50;DEX.059;Lab Product Resume - Produtos Calculados pelo ADOC;;Resumo do Produto;Documentos Externos;Thiago Ribeiro;;2021-12-17;2021-12-27;2025-09-27;2026-01-05;Sim;;
51;DEX.060;Lab Product Resume - Produtos Calculados pelo SCG;;Resumo do Produto;Documentos Externos;Thiago Ribeiro;;2021-12-17;2021-12-27;2025-09-27;2026-01-05;Sim;;
52;DEX.061;NR 10 - Segurança em Instalações e Serviços em Eletricidade;;LOTO - Bloqueio e Etiquetagem;Documentos Externos;Rodrigo Braga;;2021-12-28;2021-12-28;2026-06-09;2026-09-08;Sim;;
53;DEX.062;Lock-Out Tag-Out;;LOTO - Bloqueio e Etiquetagem;Documentos Externos;Rodrigo Braga;;2021-12-28;2021-12-28;2026-06-09;2026-09-08;Sim;;
54;DEX.063;Workplace Risk Assessment;;Análise de Riscos;Documentos Externos;Rodrigo Braga;;2021-12-28;2022-01-03;2026-06-09;2026-09-08;Sim;;
55;DEX.064;Emergency Procedures;;PAE - Plano de Atendimento a Emergência;Documentos Externos;Rodrigo Braga;;2021-12-28;2021-12-28;2026-06-09;2026-09-08;Sim;;
56;DEX.065;Fire Prevention and Response;;PAE - Plano de Atendimento a Emergência;Documentos Externos;Rodrigo Braga;1;2021-12-28;2022-02-23;2026-06-09;2026-09-08;Sim;;
57;DEX.066;Confined Spaces;;Trabalhos Perigosos;Documentos Externos;Rodrigo Braga;1;2021-12-28;2022-02-23;2026-06-09;2026-09-08;Sim;;
58;DEX.067;Hot Work;;Trabalhos Perigosos;Documentos Externos;Rodrigo Braga;1;2021-12-28;2022-02-23;2026-06-09;2026-09-08;Sim;;
59;DEX.068;Work at Height;;Trabalhos Perigosos;Documentos Externos;Rodrigo Braga;1;2021-12-28;2022-02-23;2026-06-09;2026-09-08;Sim;;
60;DEX.069;NR 33 - Segurança e Saúde nos Trabalhos em Espaços Confinados;;Trabalhos Perigosos;Documentos Externos;Rodrigo Braga;;2021-12-28;2022-02-23;2026-06-09;2026-09-08;Sim;;
61;DEX.070;NR 35 - Trabalho em Altura;;Trabalhos Perigosos;Documentos Externos;Rodrigo Braga;;2021-12-28;2022-02-23;2026-06-09;2026-09-08;Sim;;
62;DEX.071;Lei Nº 6.367, de 19 de Outubro de 1976;;Comunicações de Acidentes;Documentos Externos;Rodrigo Braga;;2021-12-28;2021-12-28;2026-06-09;2026-09-09;Sim;;
63;DEX.072;Lei Nº 6.514, de 22 de Dezembro de 1977;;Comunicações de Acidentes;Documentos Externos;Rodrigo Braga;;2021-12-28;2021-12-28;2026-06-09;2026-09-08;Sim;;
64;DEX.073;Lei Nº 8.213, de 24 de Julho de 1991;;Comunicações de Acidentes;Documentos Externos;Rodrigo Braga;;2021-12-28;2021-12-28;2026-06-09;2026-09-08;Sim;;
65;DEX.074;Design and Use Of;;EMS - Segurança em Máquinas e Equipamentos;Documentos Externos;Rodrigo Braga;;2021-12-28;2021-12-28;2026-06-09;2026-09-08;Sim;;
66;DEX.075;Essilor Machinery Safety Policy;;EMS - Segurança em Máquinas e Equipamentos;Documentos Externos;Rodrigo Braga;;2021-12-28;2021-12-28;2026-06-09;2026-09-08;Sim;;
67;DEX.076;NR-12 - Segurança no Trabalho em Máquinas e Equipamentos;;EMS - Segurança em Máquinas e Equipamentos;Documentos Externos;Rodrigo Braga;;2021-12-28;2022-02-10;2026-06-09;2026-09-08;Sim;EHS;#Proteção em Máquinas e Equipamentos
68;DEX.148;EMS - Acceptance Report;;EMS - Segurança em Máquinas e Equipamentos;Documentos Externos;Rodrigo Braga;;2021-12-28;2022-02-10;2026-06-09;2026-09-08;Sim;;
69;DEX.149;Essilor Machinery Safety Guide;;EMS - Segurança em Máquinas e Equipamentos;Documentos Externos;Rodrigo Braga;;2021-12-28;2022-02-10;2026-06-09;2026-09-08;Sim;;
70;DEX.150;Pre-Risk Assessment;;EMS - Segurança em Máquinas e Equipamentos;Documentos Externos;Rodrigo Braga;;2021-12-28;2022-02-10;2026-06-09;2026-09-08;Sim;;
71;DEX.151;Verificação de Alinhamento de Aro;;Montagem e Inspeção;Documentos Externos;Nathália Brandão;;2022-01-18;2022-01-31;2026-06-09;2026-09-08;Sim;MONTAGEM;Encaixe
72;DEX.152;Measurement of the Solid Content - HC - DO-ENG02.0476;;04-Testes;Documentos Externos;Nathália Brandão;8;2025-03-11;2025-03-11;2026-03-11;2026-06-11;Sim;Doc's de Referência do STL;HC
