no;codigo;nome;descricao;pasta;classificacao;autor;numero_revisao;ultima_revisao;data_aprovacao;proxima_revisao;data_validade;documentos_controlados;matriz;sub_area
1;DOC.001;Técnicos de Manutenção - Laboratórios;;00-Geral;Documentos;Yhan Silva;0;27/09/2019;27/09/2019;;;Não;QUALIDADE;MANUTENÇÃO
2;DOC.011;Modelo Padrão para 5S;Modelo Padrão para descrever o 5S de cada posto.;07-MELHORIA CONTÍNUA;Documentos;Humberto Serra - Lab Rio;0;07/10/2020;03/12/2020;08/07/2026;07/10/2026;Não;QUALIDADE;5S
3;DOC.012;DA - Gerente de Laboratório;;Descrição de Atividade;Documentos;Lucineide Pereira;1;11/08/2021;21/10/2021;01/04/2026;01/07/2026;Sim;;
4;DOC.013;DA - Gerente de Métodos e Processos;;Descrição de Atividade;Documentos;Lucineide Pereira;1;11/08/2021;21/10/2021;01/04/2026;01/07/2026;Sim;;
5;DOC.014;DA - Analista de Processos;;Descrição de Atividade;Documentos;Lucineide Pereira;1;09/08/2021;08/10/2021;01/04/2026;01/07/2026;Sim;;
6;DOC.015;DA - Coordenador de Processos;;Descrição de Atividade;Documentos;Lucineide Pereira;1;09/08/2021;21/10/2021;01/04/2026;01/07/2026;Sim;;
7;DOC.016;DA - Abastecedor de Linha;;Descrição de Atividade;Documentos;Lucineide Pereira;1;11/08/2021;08/10/2021;01/04/2026;01/07/2026;Sim;;
8;DOC.017;DA - Supervisor de Produção;;Descrição de Atividade;Documentos;Lucineide Pereira;1;11/08/2021;21/10/2021;01/04/2026;01/07/2026;Sim;;
9;DOC.018;DA - Líder de Produção;;Descrição de Atividade;Documentos;Lucineide Pereira;1;11/08/2021;02/06/2022;01/04/2026;01/07/2026;Sim;;
10;DOC.021;DA - Analista de Qualidade;;Descrição de Atividade;Documentos;Lucineide Pereira;1;09/08/2021;08/10/2021;01/04/2026;01/07/2026;Sim;;
11;DOC.022;DA - Gerente de Qualidade;;Descrição de Atividade;Documentos;Lucineide Pereira;1;11/08/2021;21/10/2021;01/04/2026;01/07/2026;Sim;;
12;DOC.023;DA - Técnico em Óptica;;Descrição de Atividade;Documentos;Lucineide Pereira;1;11/08/2021;08/10/2021;01/04/2026;01/07/2026;Sim;;
13;DOC.024;DA - Assistente de Qualidade;;Descrição de Atividade;Documentos;Lucineide Pereira;1;09/08/2021;08/10/2021;01/04/2026;01/07/2026;Sim;;
14;DOC.025;DA - Operador de Produção;;Descrição de Atividade;Documentos;Lucineide Pereira;1;11/08/2021;08/10/2021;01/04/2026;01/07/2026;Sim;;
15;DOC.028;Padronização de Uniformes;;Uniformes;Documentos;Taís Flores;3;06/07/2022;05/09/2022;02/07/2026;01/10/2026;Sim;;
16;DOC.030;Carta Cliente - Autorização - Defeitos de Bloco - Brasil;;Estoque / Expedição;Documentos;Taís Flores;0;01/09/2021;10/09/2021;20/05/2026;20/08/2026;Sim;;
17;DOC.032;Política da Qualidade;;Qualidade;Documentos;Taís Flores;1;08/04/2022;12/04/2022;08/07/2026;07/10/2026;Sim;QUALIDADE;QUALIDADE
18;DOC.033;Fluxograma de Processos - LabRio;;LabRio;Documentos;Renan Barbosa;4;20/03/2025;21/03/2025;21/03/2026;19/06/2026;Sim;;
19;DOC.035;Manual de Procedimentos - Garantias e Programas de Parceria;;SAC;Documentos;Melissa Grandolfo;3;17/04/2025;03/11/2025;03/11/2026;01/02/2027;Sim;Atendimento;Garantia
20;DOC.036;Fluxograma de Processo Padrão - HMC;;00-Geral HMC;Documentos;Nathália Brandão;0;02/05/2022;13/05/2024;13/05/2026;12/08/2026;Sim;;
21;DOC.037;Procedimento de Devolução de Lentes - Technopark;;Technopark;Documentos;Aline Franco;3;15/09/2025;19/09/2025;19/09/2026;18/12/2026;Sim;;
22;DOC.038;Fluxograma de Processo Padrão - Surfaçagem;;00-Geral SURFACE;Documentos;William Karasiaki;0;10/06/2022;13/05/2024;13/05/2026;12/08/2026;Sim;;
23;DOC.039;Fluxograma de Processo Padrão - Montagem;;00 - Controle de Processo;Documentos;William Karasiaki;0;13/06/2022;13/05/2024;13/05/2026;12/08/2026;Sim;;
24;DOC.040;Diagrama de Flujo Estándar del Proceso - Montagem;;00-Control de Procesos;Documentos;William Karasiaki;0;29/06/2022;13/05/2024;13/05/2026;12/08/2026;Sim;;
25;DOC.041;Diagrama de Flujo Estándar del Proceso - HMC;;00-Control de Procesos;Documentos;William Karasiaki;0;30/06/2022;13/05/2024;13/05/2026;12/08/2026;Sim;;
26;DOC.042;Diagrama de Flujo Estándar del Proceso - Surfaçagem;;00-Control de Proceso y DSPC;Documentos;William Karasiaki;0;30/06/2022;13/05/2024;13/05/2026;12/08/2026;Sim;;
27;DOC.043;Fluxo de Atendimento de Chamado para Manutenção Preventiva e Corretiva - Lab Rio;;LabRio;Documentos;Renan Barbosa;0;10/08/2022;22/09/2022;20/09/2025;21/12/2025;Sim;;
28;DOC.044;Procedimiento de Creación de Imagen HD;;Español;Documentos;Edgar Casallas;0;11/08/2022;11/08/2022;11/08/2026;09/11/2026;Sim;;
29;DOC.045;Procedimento de Criação de Imagem HD;;Português;Documentos;Edgar Casallas;0;11/08/2022;11/08/2022;11/08/2026;09/11/2026;Sim;;
30;DOC.046;Alinhamento de Repasse de Pedidos para Novos Laboratórios - Lab Rio;;LabRio;Documentos;Renan Barbosa;0;11/08/2022;18/08/2022;20/09/2025;21/12/2025;Sim;;
31;DOC.047;Fluxograma de Processos - Grown;;Grown;Documentos;Natalia Silva;3;09/01/2025;12/02/2025;12/02/2026;13/05/2026;Sim;;
32;DOC.048;Fluxograma de Processos - Repro;;Repro;Documentos;Laura Vaz;3;05/09/2025;24/10/2025;24/10/2026;22/01/2027;Sim;;
